nohup: ignoring input
Using: cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 212/300 | Train=0.00048 | Dev=0.00083
Epoch 213/300 | Train=0.00049 | Dev=0.00082
Epoch 214/300 | Train=0.00051 | Dev=0.00085
Epoch 215/300 | Train=0.00050 | Dev=0.00083
Epoch 216/300 | Train=0.00049 | Dev=0.00089
Epoch 217/300 | Train=0.00047 | Dev=0.00084
Epoch 218/300 | Train=0.00047 | Dev=0.00084
Epoch 219/300 | Train=0.00050 | Dev=0.00083
Epoch 220/300 | Train=0.00048 | Dev=0.00087
Epoch 221/300 | Train=0.00049 | Dev=0.00082
Epoch 222/300 | Train=0.00048 | Dev=0.00083
Epoch 223/300 | Train=0.00049 | Dev=0.00085
Epoch 224/300 | Train=0.00047 | Dev=0.00085
Epoch 225/300 | Train=0.00047 | Dev=0.00089
Epoch 226/300 | Train=0.00046 | Dev=0.00087
Epoch 227/300 | Train=0.00047 | Dev=0.00082
Epoch 228/300 | Train=0.00047 | Dev=0.00084
Epoch 229/300 | Train=0.00049 | Dev=0.00083
Epoch 230/300 | Train=0.00046 | Dev=0.00083
Epoch 231/300 | Train=0.00046 | Dev=0.00083
Epoch 232/300 | Train=0.00046 | Dev=0.00089
Epoch 233/300 | Train=0.00046 | Dev=0.00087
Epoch 234/300 | Train=0.00047 | Dev=0.00084
Epoch 235/300 | Train=0.00047 | Dev=0.00084
Epoch 236/300 | Train=0.00047 | Dev=0.00086
Epoch 237/300 | Train=0.00044 | Dev=0.00084
Epoch 238/300 | Train=0.00047 | Dev=0.00083
Epoch 239/300 | Train=0.00047 | Dev=0.00086
Epoch 240/300 | Train=0.00046 | Dev=0.00083
Epoch 241/300 | Train=0.00047 | Dev=0.00087
Epoch 242/300 | Train=0.00047 | Dev=0.00085
Epoch 243/300 | Train=0.00048 | Dev=0.00088
Epoch 244/300 | Train=0.00046 | Dev=0.00084
Epoch 245/300 | Train=0.00048 | Dev=0.00086
Epoch 246/300 | Train=0.00047 | Dev=0.00088
Epoch 247/300 | Train=0.00046 | Dev=0.00084
Epoch 248/300 | Train=0.00047 | Dev=0.00088
Epoch 249/300 | Train=0.00047 | Dev=0.00085
Epoch 250/300 | Train=0.00047 | Dev=0.00087
Epoch 251/300 | Train=0.00046 | Dev=0.00088
Epoch 252/300 | Train=0.00045 | Dev=0.00086
Epoch 253/300 | Train=0.00046 | Dev=0.00089
Epoch 254/300 | Train=0.00047 | Dev=0.00083
Epoch 255/300 | Train=0.00046 | Dev=0.00084
Epoch 256/300 | Train=0.00047 | Dev=0.00084
Epoch 257/300 | Train=0.00046 | Dev=0.00083
Epoch 258/300 | Train=0.00046 | Dev=0.00086
Epoch 259/300 | Train=0.00046 | Dev=0.00084
Epoch 260/300 | Train=0.00045 | Dev=0.00086
Epoch 261/300 | Train=0.00046 | Dev=0.00085
Epoch 262/300 | Train=0.00047 | Dev=0.00083
Epoch 263/300 | Train=0.00047 | Dev=0.00087
Epoch 264/300 | Train=0.00048 | Dev=0.00085
Epoch 265/300 | Train=0.00045 | Dev=0.00083
Epoch 266/300 | Train=0.00047 | Dev=0.00086
Epoch 267/300 | Train=0.00046 | Dev=0.00086
Epoch 268/300 | Train=0.00045 | Dev=0.00088
Epoch 269/300 | Train=0.00045 | Dev=0.00084
Epoch 270/300 | Train=0.00045 | Dev=0.00086
Epoch 271/300 | Train=0.00045 | Dev=0.00086
Epoch 272/300 | Train=0.00046 | Dev=0.00089
Epoch 273/300 | Train=0.00045 | Dev=0.00084
Epoch 274/300 | Train=0.00047 | Dev=0.00084
Epoch 275/300 | Train=0.00046 | Dev=0.00087
Epoch 276/300 | Train=0.00045 | Dev=0.00086
Epoch 277/300 | Train=0.00045 | Dev=0.00083
Epoch 278/300 | Train=0.00045 | Dev=0.00084
Epoch 279/300 | Train=0.00046 | Dev=0.00083
Epoch 280/300 | Train=0.00046 | Dev=0.00084
Epoch 281/300 | Train=0.00045 | Dev=0.00082
Epoch 282/300 | Train=0.00047 | Dev=0.00084
Epoch 283/300 | Train=0.00045 | Dev=0.00090
Epoch 284/300 | Train=0.00046 | Dev=0.00087
Epoch 285/300 | Train=0.00046 | Dev=0.00089
Epoch 286/300 | Train=0.00046 | Dev=0.00083
Epoch 287/300 | Train=0.00046 | Dev=0.00094
Epoch 288/300 | Train=0.00044 | Dev=0.00086
Epoch 289/300 | Train=0.00044 | Dev=0.00087
Epoch 290/300 | Train=0.00045 | Dev=0.00085
Epoch 291/300 | Train=0.00044 | Dev=0.00082
Epoch 292/300 | Train=0.00045 | Dev=0.00085
Epoch 293/300 | Train=0.00044 | Dev=0.00084
Epoch 294/300 | Train=0.00044 | Dev=0.00084
Epoch 295/300 | Train=0.00045 | Dev=0.00084
Epoch 296/300 | Train=0.00045 | Dev=0.00087
Epoch 297/300 | Train=0.00044 | Dev=0.00086
Epoch 298/300 | Train=0.00044 | Dev=0.00091
Epoch 299/300 | Train=0.00046 | Dev=0.00090
Epoch 300/300 | Train=0.00045 | Dev=0.00085
Final Test Loss = 0.000894424145822875
Saved model to /home/kqin/OpenFOAM/kqin-7/quickFNO5000/model_final.pth
